x,y,z,pitch_deg
-270.989440917969,26.5836696624756,1.51904726028442,1.90887451171875
-270.489440917969,26.5843391418457,1.53575098514557,1.91934204101563
-269.989440917969,26.5850105285645,1.55254590511322,1.9298095703125
-269.489440917969,26.5856800079346,1.56943225860596,1.94027709960938
-268.989440917969,26.5863513946533,1.58640992641449,1.95074462890625
-268.489440917969,26.5870208740234,1.60347890853882,1.961181640625
-267.989440917969,26.5876922607422,1.62063932418823,1.97164916992188
-267.489440917969,26.5883617401123,1.63789093494415,1.98211669921875
-266.989440917969,26.5890331268311,1.65523397922516,1.99258422851563
-266.489440917969,26.5897026062012,1.67266833782196,2.0030517578125
-265.989440917969,26.5903739929199,1.69019401073456,2.01351928710937
-265.489440917969,26.59104347229,1.70781099796295,2.02398681640625
-264.989440917969,26.5917148590088,1.72551929950714,2.03445434570312
-264.489440917969,26.5923843383789,1.74331903457642,2.044921875
-263.989440917969,26.5930557250977,1.76121008396149,2.05538940429687
-263.489440917969,26.5937252044678,1.77919244766235,2.06585693359375
-262.989440917969,26.5943946838379,1.79726612567902,2.07632446289062
-262.489440917969,26.5950660705566,1.81543111801147,2.0867919921875
-261.989440917969,26.5957355499268,1.83368754386902,2.09725952148437
-261.489440917969,26.5964069366455,1.85203528404236,2.10772705078125
-260.989440917969,26.5970764160156,1.8704742193222,2.11819458007812
-260.489440917969,26.5977478027344,1.88900470733643,2.128662109375
-259.989440917969,26.5984172821045,1.90762639045715,2.13912963867187
-259.489440917969,26.5990886688232,1.92633938789368,2.14959716796875
-258.989440917969,26.5997581481934,1.94514381885529,2.16006469726562
-258.489440917969,26.6004295349121,1.96403956413269,2.1705322265625
-257.989440917969,26.6010990142822,1.98302662372589,2.18099975585937
-257.489440917969,26.601770401001,2.00210499763489,2.19146728515625
-256.989440917969,26.6024398803711,2.02127480506897,2.20193481445312
-256.489440917969,26.6031112670898,2.04053568840027,2.21240234375
-255.989456176758,26.60378074646,2.05988812446594,2.22286987304687
-255.489456176758,26.6044521331787,2.07933187484741,2.23330688476562
-254.989456176758,26.6051216125488,2.09886693954468,2.2437744140625
-254.489456176758,26.6057929992676,2.11849355697632,2.25424194335937
-253.989456176758,26.6064624786377,2.13821125030518,2.26470947265625
-253.489456176758,26.6071338653564,2.15802025794983,2.27517700195312
-252.989456176758,26.6078033447266,2.17792081832886,2.28564453125
-252.489456176758,26.6084747314453,2.1979124546051,2.29611206054687
-251.989456176758,26.6091442108154,2.21799564361572,2.30657958984375
-251.489456176758,26.6098155975342,2.23816990852356,2.31704711914062
-250.989456176758,26.6104850769043,2.25843572616577,2.3275146484375
-250.489471435547,26.6111545562744,2.27879285812378,2.33798217773437
-249.989471435547,26.6118259429932,2.29924130439758,2.34844970703125
-249.489471435547,26.6124954223633,2.31978106498718,2.35891723632812
-248.989471435547,26.613166809082,2.34041213989258,2.369384765625
-248.489456176758,26.6138362884521,2.36113476753235,2.37985229492187
-247.989456176758,26.6145076751709,2.38194847106934,2.39031982421875
-247.489456176758,26.615177154541,2.40285348892212,2.40078735351562
-246.989456176758,26.6158485412598,2.42385005950928,2.4112548828125
-246.489456176758,26.6165180206299,2.44493794441223,2.42172241210937
-245.989471435547,26.6171894073486,2.4661169052124,2.43218994140625
-245.489471435547,26.6178588867187,2.48738741874695,2.44265747070312
-244.989471435547,26.6185302734375,2.50874924659729,2.453125
-244.489471435547,26.6191997528076,2.53020238876343,2.46359252929687
-243.989471435547,26.6198711395264,2.55174684524536,2.47406005859375
-243.489471435547,26.6205406188965,2.57338261604309,2.48452758789062
-242.989471435547,26.6212120056152,2.5951099395752,2.4949951171875
-242.489471435547,26.6218814849854,2.61692833900452,2.50546264648437
-241.989471435547,26.6225528717041,2.63883805274963,2.51589965820312
-241.489471435547,26.6232223510742,2.66083931922913,2.5263671875
-240.989471435547,26.623893737793,2.68293190002441,2.53683471679687
-240.489471435547,26.6245632171631,2.70511555671692,2.54730224609375
-239.989471435547,26.6252346038818,2.7273907661438,2.55776977539062
-239.489471435547,26.625904083252,2.74975728988647,2.5682373046875
-238.989471435547,26.6265754699707,2.77221512794495,2.57870483398437
-238.489471435547,26.6272449493408,2.79476428031921,2.58917236328125
-237.989471435547,26.6279144287109,2.81740474700928,2.59963989257812
-237.489486694336,26.6285858154297,2.84013676643372,2.610107421875
-236.989486694336,26.6292552947998,2.86295986175537,2.62057495117187
-236.489486694336,26.6299266815186,2.8858745098114,2.63104248046875
-235.989486694336,26.6305961608887,2.90888023376465,2.64151000976562
-235.489486694336,26.6312675476074,2.93197751045227,2.6519775390625
-234.989486694336,26.6319370269775,2.95516610145569,2.66244506835937
-234.489486694336,26.6326084136963,2.97844576835632,2.67291259765625
-233.989486694336,26.6332778930664,3.00181698799133,2.68338012695312
-233.489486694336,26.6339492797852,3.02527952194214,2.69384765625
-232.989486694336,26.6346187591553,3.04883360862732,2.70431518554687
-232.489486694336,26.635290145874,3.07247877120972,2.71478271484375
-231.989486694336,26.6359596252441,3.09621524810791,2.72525024414062
-231.489486694336,26.6366310119629,3.12004327774048,2.7357177734375
-230.989486694336,26.637300491333,3.14396238327026,2.74618530273437
-230.489486694336,26.6379718780518,3.16797304153442,2.75665283203125
